[92]    valid_0's ndcg@1: 0.495907      valid_0's error: 0.625253
[93]    valid_0's ndcg@1: 0.496253      valid_0's error: 0.625519
[94]    valid_0's ndcg@1: 0.496137      valid_0's error: 0.625563
[95]    valid_0's ndcg@1: 0.496022      valid_0's error: 0.625555
[96]    valid_0's ndcg@1: 0.495792      valid_0's error: 0.625424
[97]    valid_0's ndcg@1: 0.495792      valid_0's error: 0.625496
[98]    valid_0's ndcg@1: 0.495907      valid_0's error: 0.625589
[99]    valid_0's ndcg@1: 0.496137      valid_0's error: 0.625789
[100]   valid_0's ndcg@1: 0.495792      valid_0's error: 0.625499
[101]   valid_0's ndcg@1: 0.496022      valid_0's error: 0.625663
[102]   valid_0's ndcg@1: 0.496137      valid_0's error: 0.62577
[103]   valid_0's ndcg@1: 0.496483      valid_0's error: 0.626047
[104]   valid_0's ndcg@1: 0.496483      valid_0's error: 0.626091
[105]   valid_0's ndcg@1: 0.496253      valid_0's error: 0.626042
[106]   valid_0's ndcg@1: 0.496483      valid_0's error: 0.626122
[107]   valid_0's ndcg@1: 0.49706       valid_0's error: 0.626495
[108]   valid_0's ndcg@1: 0.49729       valid_0's error: 0.626797
[109]   valid_0's ndcg@1: 0.497521      valid_0's error: 0.626989
[110]   valid_0's ndcg@1: 0.49729       valid_0's error: 0.627031
[111]   valid_0's ndcg@1: 0.497636      valid_0's error: 0.627192
[112]   valid_0's ndcg@1: 0.497521      valid_0's error: 0.62727
[113]   valid_0's ndcg@1: 0.497752      valid_0's error: 0.627459
[114]   valid_0's ndcg@1: 0.497867      valid_0's error: 0.627464
[115]   valid_0's ndcg@1: 0.497982      valid_0's error: 0.62746
[116]   valid_0's ndcg@1: 0.497982      valid_0's error: 0.627518
[117]   valid_0's ndcg@1: 0.497982      valid_0's error: 0.627485
[118]   valid_0's ndcg@1: 0.498098      valid_0's error: 0.627573
[119]   valid_0's ndcg@1: 0.497982      valid_0's error: 0.627707
[120]   valid_0's ndcg@1: 0.498098      valid_0's error: 0.627757
[121]   valid_0's ndcg@1: 0.497867      valid_0's error: 0.62767
[122]   valid_0's ndcg@1: 0.498098      valid_0's error: 0.627831
[123]   valid_0's ndcg@1: 0.498213      valid_0's error: 0.62788
[124]   valid_0's ndcg@1: 0.497867      valid_0's error: 0.627864
[125]   valid_0's ndcg@1: 0.497636      valid_0's error: 0.627822
[126]   valid_0's ndcg@1: 0.498443      valid_0's error: 0.628237
[127]   valid_0's ndcg@1: 0.498213      valid_0's error: 0.628129
[128]   valid_0's ndcg@1: 0.498213      valid_0's error: 0.628182
[129]   valid_0's ndcg@1: 0.498674      valid_0's error: 0.628401
[130]   valid_0's ndcg@1: 0.498789      valid_0's error: 0.628548
[131]   valid_0's ndcg@1: 0.49902       valid_0's error: 0.628665
[132]   valid_0's ndcg@1: 0.499135      valid_0's error: 0.628719
[133]   valid_0's ndcg@1: 0.499135      valid_0's error: 0.628865
[134]   valid_0's ndcg@1: 0.498905      valid_0's error: 0.628668
[135]   valid_0's ndcg@1: 0.49902       valid_0's error: 0.628832
[136]   valid_0's ndcg@1: 0.499135      valid_0's error: 0.628857
[137]   valid_0's ndcg@1: 0.499366      valid_0's error: 0.628965
[138]   valid_0's ndcg@1: 0.499481      valid_0's error: 0.629062
[139]   valid_0's ndcg@1: 0.499366      valid_0's error: 0.629004
[140]   valid_0's ndcg@1: 0.499712      valid_0's error: 0.629156
[141]   valid_0's ndcg@1: 0.499712      valid_0's error: 0.629216
[142]   valid_0's ndcg@1: 0.499827      valid_0's error: 0.629224
[143]   valid_0's ndcg@1: 0.500058      valid_0's error: 0.629385
[144]   valid_0's ndcg@1: 0.499942      valid_0's error: 0.629355
[145]   valid_0's ndcg@1: 0.499827      valid_0's error: 0.629317
[146]   valid_0's ndcg@1: 0.500058      valid_0's error: 0.629468
[147]   valid_0's ndcg@1: 0.499942      valid_0's error: 0.629453
[148]   valid_0's ndcg@1: 0.499942      valid_0's error: 0.62956
[149]   valid_0's ndcg@1: 0.499942      valid_0's error: 0.629549
[150]   valid_0's ndcg@1: 0.500173      valid_0's error: 0.629681
[151]   valid_0's ndcg@1: 0.500173      valid_0's error: 0.629723
[152]   valid_0's ndcg@1: 0.500058      valid_0's error: 0.629689
[153]   valid_0's ndcg@1: 0.500058      valid_0's error: 0.629708
[154]   valid_0's ndcg@1: 0.499827      valid_0's error: 0.629501
[155]   valid_0's ndcg@1: 0.500288      valid_0's error: 0.629775
[156]   valid_0's ndcg@1: 0.500404      valid_0's error: 0.629888
[157]   valid_0's ndcg@1: 0.500519      valid_0's error: 0.63008
[158]   valid_0's ndcg@1: 0.500519      valid_0's error: 0.630129
[159]   valid_0's ndcg@1: 0.500634      valid_0's error: 0.630171
[160]   valid_0's ndcg@1: 0.500749      valid_0's error: 0.630308
[161]   valid_0's ndcg@1: 0.50098       valid_0's error: 0.630482
[162]   valid_0's ndcg@1: 0.500865      valid_0's error: 0.63045
[163]   valid_0's ndcg@1: 0.50098       valid_0's error: 0.630652
[164]   valid_0's ndcg@1: 0.501095      valid_0's error: 0.630636
[165]   valid_0's ndcg@1: 0.501095      valid_0's error: 0.630681
[166]   valid_0's ndcg@1: 0.50098       valid_0's error: 0.630621
[167]   valid_0's ndcg@1: 0.50098       valid_0's error: 0.63069
[168]   valid_0's ndcg@1: 0.501095      valid_0's error: 0.630808
[169]   valid_0's ndcg@1: 0.501211      valid_0's error: 0.630807
[170]   valid_0's ndcg@1: 0.501326      valid_0's error: 0.630806
[171]   valid_0's ndcg@1: 0.501441      valid_0's error: 0.630882
[172]   valid_0's ndcg@1: 0.502248      valid_0's error: 0.631277
[173]   valid_0's ndcg@1: 0.501787      valid_0's error: 0.631016
[174]   valid_0's ndcg@1: 0.502479      valid_0's error: 0.631379
[175]   valid_0's ndcg@1: 0.501902      valid_0's error: 0.631183
[176]   valid_0's ndcg@1: 0.502364      valid_0's error: 0.631421
[177]   valid_0's ndcg@1: 0.502594      valid_0's error: 0.631527
[178]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.631706
[179]   valid_0's ndcg@1: 0.502825      valid_0's error: 0.631635
[180]   valid_0's ndcg@1: 0.502594      valid_0's error: 0.631576
[181]   valid_0's ndcg@1: 0.502594      valid_0's error: 0.631552
[182]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.631831
[183]   valid_0's ndcg@1: 0.503171      valid_0's error: 0.631851
[184]   valid_0's ndcg@1: 0.503401      valid_0's error: 0.631956
[185]   valid_0's ndcg@1: 0.503401      valid_0's error: 0.63192
[186]   valid_0's ndcg@1: 0.503401      valid_0's error: 0.631941
